Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
18711cb448b791470f399ccb67335da5,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
189818be1d67ff994da576a0367e4490,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
18d47001adc0ab992b8e5024b0b5ab08,Unassigned,,,,,,
18eec31d29b2708d9666e9973c6d02b1,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00213
19100545d9ee4859dd3aa1be078939af,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
19145b239b90c70193f367fdbd552978,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
19a7f429a360c69e768038d39693f97f,Fungi,Mucoromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,VTX00283
19ce43ff1d2d90dd9d77f7736283dc2a,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
19cec86f236f23d38045ccc4e6d8ce0e,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00213
1a08315210862351b21bdaa7a8f323fb,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
1a249187c9ef56c3d01b45d70c11406b,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
1a30e489e733f975c0f657d94148c7b0,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
1a3bad6b3ccc34de745b275bdf57f4c1,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
1a493a7a355fbcc63d9f3c4ffe784591,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00166
1a5176a91a065015b732148ceda19aa2,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
1a55d3c9c4b81e2ea4054a0c0ab5e095,Unassigned,,,,,,
1a7e693fdbc22dfe1634fdcb81b648e1,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
1a7f0207901a456903b676b1115a317f,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00092
1ab490fd81907cc48da24f8da649bf3a,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00166
1abff92ffb0d59336f2dfab88661d550,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
1ac1434ef5e811c37f3e74f6121165f0,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
1ae7a8de935b0cd7eb24022dfb1f9785,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
1b511d998968fd4f632fa0ef40ce79d8,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
1b51c73f2788bc158e527906744997fa,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
1b78a1fe7af0144d1b9ac5df03d8a60b,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
1bdadb6e1d8aa16230dab5a822df748d,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
1be204589a5f1cb9e1898f2d8ad799d8,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
1c6e987f4da15303bcb6bdeade5a7b4b,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00052
1cb5a290f25a6bd9473f2dcd9a4f0fce,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
1cdea16410759b9af7b309fbf5eac5c6,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
1d13530991610700f1cf7b0f2e66f786,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00052
1d2d90c0357de5f54f93c3e44409211d,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
1d3e6d31affd4c7216a15d745ac4ab0d,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
1d4c97d76c01becfd8cba4a5c13a472e,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00191
1d4fcf7f3c0328a049591f03903a9295,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
1d7112815f9fb6c7253526b40a9711fe,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
